1	1	1	0	0	12450	4225
1	1	2	1	24000	5549	49296
1	1	3	1	34800	1800	21677
1	1	4	4	36600	3689	51560
1	1	5	2	43200	3060	52467
1	1	6	4	47400	2219	33005
1	1	7	1	49200	5549	160326
1	1	8	4	58200	32549	4225
1	2	9	0	0	5850	4225
1	2	10	1	10800	2250	10917
1	2	11	0	14400	22950	4225
1	2	12	1	59400	31950	73872
1	3	13	0	0	13950	4225
1	3	14	7	27000	13950	7532
1	3	15	4	53700	1800	4225
1	3	16	4	56099	2955	5867
1	3	17	1	61200	12150	245150
1	3	18	5	84600	19350	4225
2	4	1	0	0	13950	244827
2	4	2	1	28800	17550	119371
2	4	3	4	63900	1800	244827
2	4	4	2	69599	2640	22396
2	4	5	2	74400	24449	244827
2	5	6	0	0	49050	244827
3	6	1	0	0	27149	11054
3	6	2	3	54000	1821	16928
3	6	3	6	55800	1904	21607
3	6	4	4	58200	7889	22512
3	6	5	4	79800	21749	11054
4	7	1	0	0	13950	2938
4	7	2	1	27000	17550	27618
4	7	3	4	64800	29250	2938
4	8	4	0	0	17400	2938
4	8	5	2	34200	3060	6270
4	8	6	2	38400	3060	21032
4	8	7	0	43200	3150	2938
4	8	8	2	47099	4215	15370
4	8	9	4	54299	34500	2938
5	9	1	0	0	13350	10628
5	9	2	1	25800	19049	29740
5	9	3	4	61800	30749	10628
5	10	4	0	0	17550	10628
5	10	5	6	34200	1904	17417
5	10	6	1	36000	3150	10628
5	10	7	6	39899	1904	10678
5	10	8	2	40500	2010	2357
5	10	9	4	41400	1800	10628
5	10	10	6	45299	2115	10678
5	10	11	2	46500	3749	10628
5	10	12	6	54299	1821	3782
5	10	13	6	54600	2115	6180
5	10	14	3	55800	33750	10628
5	11	15	0	0	17550	10628
5	11	16	6	34200	1904	9083
5	11	17	1	36000	3150	10628
5	11	18	6	39899	1904	2808
5	11	19	2	40500	2010	10236
5	11	20	4	41400	1800	10628
5	11	21	6	45299	2115	5868
5	11	22	2	46500	3749	10628
5	11	23	6	54299	1821	6696
5	11	24	6	54600	2115	3679
5	11	25	3	55800	33750	10628
5	12	26	0	0	14700	10628
5	12	27	7	28500	12600	3019
5	12	28	4	51300	2700	10628
5	12	29	1	56999	8850	47824
5	12	30	4	72600	25349	10628
5	13	31	0	0	15449	10628
5	13	32	7	29999	13800	3019
5	13	33	4	55500	33899	10628
6	14	1	0	0	15300	2938
6	14	2	6	30600	1967	5212
6	14	3	1	32100	15899	8500
6	14	4	6	61800	1841	245068
6	14	5	4	64800	1800	2938
6	14	6	2	67860	2388	19815
6	14	7	4	70499	26400	2938
6	15	8	0	0	15300	2938
6	15	9	1	34200	14850	78932
6	15	10	4	64500	29399	2938
6	16	11	0	0	15300	2938
6	16	12	6	30600	1967	3951
6	16	13	1	32100	15899	17800
6	16	14	6	61800	1841	56187
6	16	15	4	64800	1800	2938
6	16	16	2	67860	2388	7408
6	16	17	4	70499	26400	2938
6	17	18	0	0	15300	2938
6	17	19	6	30600	1967	104500
6	17	20	1	32100	15899	102962
6	17	21	6	61800	1841	104677
6	17	22	4	64800	1800	2938
6	17	23	2	67860	2388	8159
6	17	24	4	70499	26400	2938
6	18	25	0	0	15300	2938
6	18	26	7	30600	18149	5212
6	18	27	4	65700	1800	2938
6	18	28	2	67860	2388	19815
6	18	29	0	70499	26400	2938
